,Score 2019,Score 2018,Score 2017,Score 2016,Score 2015,Popul 2015,Popul 2016,Popul 2017,Popul 2018,Dens 2015,Dens 2016,Dens 2017,Dens 2018,Life expect. 2019,Sex-ratio 2019,Urbanization rate 2019,Country,Continent,Currency,Languages,Flag,GDPcapita % 2016,NotEmploy 2016
102,6.07,5.945,5.824999809265139,5.528,5.124,19815616.0,19702267.0,19587290.0,19472545.0,86.12489569,85.63224531,85.13251912,84.63380129,75.9,0.95,56.4,Romania,Europe,RON,ro,Others,5.40266296,5.901000023
103,5.603,5.398,5.39499998092651,5.1770000000000005,5.122999999999999,7095383.0,7058322.0,7020858.0,6982604.0,81.12717814,80.70343014,80.27507432,79.8376858,75.8,0.95,56.4,Serbia,Europe,RSD,sr,Others,3.882936212,15.25699997
104,3.3339999999999996,3.408,3.47099995613098,3.515,3.465,11369071.0,11668818.0,11980937.0,12301939.0,460.8460073,472.99627080000005,485.648034,498.65987029999997,68.7,0.96,17.4,Rwanda,Africa,RWF,"rw,en,fr",Others,3.258881398,1.034999967
105,6.375,6.371,6.343999862670901,6.379,6.4110000000000005,31717667.0,32442572.0,33099147.0,33699947.0,14.75453065,15.09174439,15.39717215,15.67665431,75.0,1.3,84.3,Saudi Arabia,Asia,SAR,ar,Others,-0.601112093,5.650000095
106,7.343,7.314,7.28399991989136,7.291,7.364,9799186.0,9923085.0,10057698.0,10175214.0,24.05829958,24.36248803,24.69298078,24.98149812,82.7,1.0,88.0,Sweden,Europe,SEK,sv,Others,1.401860955,6.989999771
107,6.2620000000000005,6.343,6.57200002670288,6.739,6.797999999999999,5535002.0,5607283.0,5612253.0,5638676.0,7806.772752,7908.720563,7915.730436,7952.998418000001,83.8,0.96,100.0,Singapore,Asia,SGD,"en,ms,ta,zh",Others,1.635085531,4.079999924
108,6.117999999999999,5.9479999999999995,5.75799989700317,5.768,5.848,2063531.0,2065042.0,2066388.0,2073894.0,102.44610870000001,102.5241808,102.5910064,102.9636605,81.2,1.0,55.1,Slovenia,Europe,EUR,sl,Others,2.992671703,8
109,4.374,4.571000000000001,4.70900011062622,4.635,4.507,7171914.0,7328838.0,7488431.0,7650154.0,99.36151288,101.5355777,103.7466196,105.98717099999999,54.3,0.95,42.9,Sierra Leone,Africa,SLL,en,Others,3.784629837,4.710000038
110,4.681,4.631,4.53499984741211,4.218999999999999,3.904,14578459.0,14993528.0,15419381.0,15854360.0,75.72045396,77.87632057,80.08819924,82.34747832,67.7,0.94,48.1,Senegal,Africa,XOF,fr,Others,3.412110213,6.612999916
111,6.252999999999999,6.167000000000001,6.002999782562259,6.068,6.13,6325124.0,6356143.0,6388122.0,6420744.0,305.2666023,306.76365830000003,308.3070463,309.8814672,73.1,0.92,73.4,El Salvador,North America,"SVC,USD",es,Others,2.007205649,4.418000221
112,4.35,4.301,3.9360001087188703,3.763,3.667,14110975.0,14561666.0,15016773.0,15477751.0,11.20630162,11.56422014,11.92564565,12.29173364,54.0,0.98,23.5,Chad,Africa,XAF,"fr,ar",Others,-9.156966402,2.417000055
113,4.085,3.9989999999999997,3.4949998855590803,3.303,2.839,7323158.0,7509952.0,7698475.0,7889094.0,134.64162530000002,138.0759698,141.5421033,145.0467733,60.8,0.98,42.8,Togo,Africa,XOF,fr,Others,2.308736638,1.654000044
114,6.007999999999999,6.072,6.4239997863769505,6.474,6.455,68714511.0,68971331.0,69209858.0,69428524.0,134.49962030000003,135.00231169999998,135.46919690000001,135.89720680000002,76.9,0.96,51.4,Thailand,Asia,THB,th,Others,2.97163312,0.688000023
115,5.4670000000000005,5.199,5.04099988937378,4.996,4.7860000000000005,8454028.0,8663579.0,8880268.0,9100837.0,60.91237121,62.42221342,63.98348584,65.57271417,70.9,0.99,27.5,Tajikistan,Asia,TJS,"tg,ru",Others,4.28796556,10.98900032
116,5.247000000000001,5.636,5.82200002670288,5.6579999999999995,5.547999999999999,5565287.0,5662372.0,5757669.0,5850908.0,11.84279999,12.04939459,12.25218437,12.45059477,68.1,0.98,52.5,Turkmenistan,Asia,TMT,"tk,ru",Others,4.379132846,3.799000025
117,4.461,4.592,4.80499982833862,5.045,4.739,11179949.0,11303946.0,11433443.0,11565204.0,71.96156668,72.75969361,73.59322219,74.44132338,76.5,0.99,69.6,Tunisia,Africa,TND,ar,Outliers,0.1517439,15.51399994
118,5.372999999999999,5.483,5.5,5.388999999999999,5.332000000000001,78529409.0,79821724.0,81101892.0,82319724.0,102.0352754,103.71441340000001,105.3777685,106.96012890000002,78.3,1.01,76.1,Turkey,Asia,TRY,tr,Others,1.513283649,10.83899975
119,3.2310000000000003,3.303,3.34899997711182,3.6660000000000004,3.781,51482633.0,53050790.0,54663906.0,56318348.0,58.11992888,59.89025739,61.71134116,63.57907879999999,65.0,1.0,35.2,Tanzania,Africa,TZS,"sw,en",Others,3.713713798,2.095000029
120,4.332,4.103,4.09600019454956,4.324,4.681,45154036.0,45004674.0,44831135.0,44622518.0,77.94720434,77.68936802,77.38979613,77.0296708,72.0,0.86,69.6,Ukraine,Europe,UAH,uk,Outliers,2.854863799,9.350000381
121,4.189,4.1610000000000005,4.08099985122681,3.739,3.931,38225453.0,39647506.0,41162465.0,42723139.0,190.6316228,197.723449,205.2786006,213.06173450000003,63.0,0.94,25.0,Uganda,Africa,UGX,"en,sw",Others,1.022778127,1.792000055
122,6.892,6.886,6.993000030517581,7.104,7.119,320635163.0,322941311.0,324985539.0,326687501.0,35.05197783,35.30408694,35.52756285,35.71362209,78.9,0.97,82.7,United States,North America,"USD,USN,USS",en,Others,0.835127873,4.868999958
123,6.292999999999999,6.379,6.4539999961853,6.545,6.485,3412009.0,3424132.0,3436646.0,3449299.0,19.49496629,19.56423266,19.63573306,19.70802765,77.8,0.94,95.5,Uruguay,South America,"UYI,UYU",es,Others,1.32976957,7.84100008
124,6.1739999999999995,6.096,5.97100019454956,5.987,6.002999999999999,31298900.0,31847900.0,32388600.0,32956100.0,73.57522332,74.86577339,76.13681241,77.47085096,71.5,0.99,50.4,Uzbekistan,Asia,UZS,"uz,ru",Others,4.26545161,5.159999847
125,5.175,5.103,5.07399988174438,5.061,5.36,92677076.0,93638724.0,94596642.0,95540395.0,298.8908182,301.9922082,305.0815687,308.1252459,75.3,1.01,37.3,Vietnam,Asia,VND,vi,Others,5.12005124,1.850999951
126,4.7219999999999995,4.724,4.8289999961853,4.459,4.6419999999999995,55386367.0,56203654.0,57000451.0,57779622.0,45.65726121,46.33098451,46.98781706,47.63011978,63.9,0.98,67.4,South Africa,Africa,ZAR,"af,en,nr,st,ss,tn,ts,ve,xh,zu",Others,-1.060868204,26.5510006
127,4.107,4.377,4.513999938964839,4.795,5.129,15879361.0,16363507.0,16853688.0,17351822.0,21.36074066,22.0120085,22.67139456,23.3414789,63.5,1.0,44.6,Zambia,Africa,ZMW,en,Others,0.687321043,7.372000217
128,3.6630000000000003,3.6919999999999997,3.875,4.1930000000000005,4.61,13814629.0,14030390.0,14236745.0,14439018.0,35.71055706,36.268295200000004,36.80171901,37.32459093,61.2,0.96,32.2,Zimbabwe,Africa,"USD,ZAR,BWP,GBP,AUD,CNY,INR,JPY","en,sn,nd",Others,-0.793566446,5.238999844
